HexagonNumber,HexandMonth,Month,Under20,20to29,30to39,40to49,50to59,60to69,70andabove,TotalNarcan,NarcanAdministered,Male,Female,MPDCalls,FEMSCalls,MedicalCalls,MiscCals,OverdoseCalls,PropertyCalls,QOLCalls,TrafficCalls,ViolentCalls,AverageTemperature,AverageHumidity,AveragePrecipitation,Unemployment
32,32-1,1,0,0,1,1,0,0,0,2,1,2,0,132,80,95,21,2,23,71,47,18,37.4075,0.541428571,0.00025,0.071666667
33,33-1,1,0,0,0,2,0,0,0,2,1,0,2,134,63,59,30,2,23,83,35,29,37.4075,0.541428571,0.00025,0.255
35,35-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.4075,0.541428571,0.00025,0.1395
36,36-1,1,0,0,0,0,0,0,0,0,0,0,0,18,2,4,3,0,3,10,4,4,37.4075,0.541428571,0.00025,0.192
43,43-1,1,0,0,0,0,0,0,1,1,1,1,0,146,30,35,25,0,40,76,44,3,37.4075,0.541428571,0.00025,0.07875
44,44-1,1,0,4,0,0,0,0,0,4,1,4,0,58,22,26,9,0,6,39,29,8,37.4075,0.541428571,0.00025,0.127
45,45-1,1,0,0,0,0,0,0,0,0,0,0,0,168,15,47,45,0,20,71,44,15,37.4075,0.541428571,0.00025,0.067
53,53-1,1,0,0,0,0,0,0,0,0,0,0,0,14,2,2,2,0,10,2,1,0,37.4075,0.541428571,0.00025,0.0865
54,54-1,1,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,37.4075,0.541428571,0.00025,0.096
55,55-1,1,0,0,0,0,0,0,0,0,0,0,0,11,5,3,1,0,8,4,1,0,37.4075,0.541428571,0.00025,0.094
57,57-1,1,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,37.4075,0.541428571,0.00025,0.061
58,58-1,1,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,8,5,2,0,37.4075,0.541428571,0.00025,0.035
66,66-1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,37.4075,0.541428571,0.00025,0.085
68,68-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.045,0.570714286,0.003603571,0.1415
82,82-1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,41.045,0.570714286,0.003603571,0
91,91-1,1,0,0,0,0,0,0,0,0,0,0,0,20,2,4,3,0,1,14,13,0,41.045,0.570714286,0.003603571,0.021
92,92-1,1,0,0,0,0,0,0,0,0,0,0,0,112,16,18,21,1,13,75,27,12,41.045,0.570714286,0.003603571,0.126333333
93,93-1,1,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,41.045,0.570714286,0.003603571,0.042
94,94-1,1,0,0,0,0,1,0,0,1,1,1,0,70,26,29,21,0,11,35,23,2,41.045,0.570714286,0.003603571,0.0605
96,96-1,1,0,0,0,0,0,0,0,0,0,0,0,10,0,0,1,0,4,5,3,0,41.045,0.570714286,0.003603571,0.043
106,106-1,1,1,0,0,1,1,0,0,3,1,0,2,126,15,27,16,0,40,58,33,12,41.045,0.570714286,0.003603571,0.10175
107,107-1,1,0,0,0,0,0,1,0,1,1,1,0,36,3,7,7,0,4,21,5,0,41.045,0.570714286,0.003603571,0.036
110,110-1,1,0,0,0,0,0,0,0,0,0,0,0,7,1,2,2,0,2,2,1,0,41.045,0.570714286,0.003603571,0.051
111,111-1,1,0,0,0,0,0,0,0,0,0,0,0,169,18,79,27,0,27,54,42,18,41.045,0.570714286,0.003603571,0.067
112,112-1,1,0,0,0,0,0,0,0,0,0,0,0,26,3,2,7,0,3,17,9,1,41.045,0.570714286,0.003603571,0.127
113,113-1,1,0,0,0,0,0,0,0,0,0,0,0,28,17,16,5,0,10,14,11,1,41.045,0.570714286,0.003603571,0.033
121,121-1,1,0,0,0,0,1,0,0,1,1,0,1,100,33,32,27,2,18,54,28,9,41.045,0.570714286,0.003603571,0.146
122,122-1,1,0,0,0,1,0,0,0,1,1,1,0,7,4,3,0,0,5,3,2,0,41.045,0.570714286,0.003603571,0.023
123,123-1,1,0,0,0,0,0,0,0,0,0,0,0,62,12,11,15,0,14,34,9,4,41.045,0.570714286,0.003603571,0.1245
124,124-1,1,0,0,0,0,0,0,0,0,0,0,0,8,1,2,1,0,5,1,0,0,41.045,0.570714286,0.003603571,0.0325
126,126-1,1,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,41.045,0.570714286,0.003603571,0.031
127,127-1,1,0,0,0,0,0,0,0,0,0,0,0,11,3,1,3,0,4,6,4,0,41.045,0.570714286,0.003603571,0.0375
137,137-1,1,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,54.68785714,0.531071429,0.001135714,0.009
138,138-1,1,0,0,0,0,1,0,0,1,1,1,0,2,1,0,1,0,0,2,2,0,54.68785714,0.531071429,0.001135714,0.14
139,139-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.68785714,0.531071429,0.001135714,0.009
140,140-1,1,0,0,1,0,0,0,1,2,1,2,0,190,51,57,46,2,31,105,45,23,54.68785714,0.531071429,0.001135714,0.204
141,141-1,1,0,0,0,0,0,0,1,1,1,1,0,167,139,171,22,7,20,86,42,30,54.68785714,0.531071429,0.001135714,0.165
143,143-1,1,0,0,0,0,2,0,0,2,1,1,1,69,24,23,15,1,12,42,26,5,54.68785714,0.531071429,0.001135714,0.131666667
144,144-1,1,0,0,0,0,0,0,0,0,0,0,0,41,8,10,3,0,8,28,19,1,54.68785714,0.531071429,0.001135714,0.107
145,145-1,1,0,0,0,0,0,0,0,0,0,0,0,234,70,83,45,3,28,145,82,39,54.68785714,0.531071429,0.001135714,0.1705
156,156-1,1,0,0,0,0,0,0,0,0,0,0,0,289,96,103,37,3,34,208,86,43,54.68785714,0.531071429,0.001135714,0.235
158,158-1,1,0,0,0,0,1,0,0,1,1,1,0,99,27,29,28,0,29,40,18,11,54.68785714,0.531071429,0.001135714,0.1565
159,159-1,1,0,0,1,0,0,0,0,1,1,1,0,46,21,20,8,0,6,33,20,3,54.68785714,0.531071429,0.001135714,0.023666667
160,160-1,1,0,0,0,0,0,0,0,0,0,0,0,468,109,142,101,2,66,266,127,45,54.68785714,0.531071429,0.001135714,0.122571429
162,162-1,1,0,0,0,0,0,0,0,0,0,0,0,109,12,11,15,0,13,82,63,2,54.68785714,0.531071429,0.001135714,0.043
163,163-1,1,0,0,0,0,0,0,0,0,0,0,0,244,50,47,34,3,46,164,109,22,54.68785714,0.531071429,0.001135714,0.07
164,164-1,1,0,0,0,0,1,0,0,1,1,1,0,1,1,1,0,0,0,1,1,0,54.68785714,0.531071429,0.001135714,0.1655
165,165-1,1,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,54.68785714,0.531071429,0.001135714,0.053
166,166-1,1,0,0,1,0,1,0,0,2,1,1,1,292,101,132,50,4,41,166,98,38,54.68785714,0.531071429,0.001135714,0.068
173,173-1,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,3,2,1,1,54.68785714,0.531071429,0.001135714,0.051
174,174-1,1,0,0,0,0,0,0,0,0,0,0,0,168,49,59,25,1,32,100,63,21,54.68785714,0.531071429,0.001135714,0.1035
175,175-1,1,0,0,0,0,0,0,0,0,0,0,0,65,9,8,15,1,13,37,28,4,54.68785714,0.531071429,0.001135714,0.152
178,178-1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,54.68785714,0.531071429,0.001135714,0.02
179,179-1,1,0,0,0,0,0,0,0,0,0,0,0,52,11,12,12,0,20,19,9,0,54.68785714,0.531071429,0.001135714,0.033
180,180-1,1,0,0,1,0,1,1,0,3,1,2,1,67,25,39,10,0,12,31,27,11,54.68785714,0.531071429,0.001135714,0.14425
181,181-1,1,0,0,0,0,0,1,0,1,1,1,0,2,0,0,0,0,1,1,0,0,54.68785714,0.531071429,0.001135714,0.0365
183,183-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.68785714,0.531071429,0.001135714,0.096
186,186-1,1,0,0,0,0,0,0,0,0,0,0,0,51,14,15,16,0,8,26,17,3,54.68785714,0.531071429,0.001135714,0.028666667
187,187-1,1,0,0,0,0,1,0,0,1,1,0,1,13,2,1,2,0,1,11,7,4,54.68785714,0.531071429,0.001135714,0.091
188,188-1,1,0,0,0,0,0,0,0,0,0,0,0,52,5,5,9,0,18,25,16,2,54.68785714,0.531071429,0.001135714,0.025
197,197-1,1,0,0,0,1,2,2,0,5,1,3,2,9,4,7,0,0,2,4,1,0,54.68785714,0.531071429,0.001135714,0.085
201,201-1,1,0,0,0,0,0,0,0,0,0,0,0,5,2,1,0,1,1,4,4,1,58.12642857,0.493571429,0.006225,0.1275
204,204-1,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,1,1,0,58.12642857,0.493571429,0.006225,0.14
205,205-1,1,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,58.12642857,0.493571429,0.006225,0.009
206,206-1,1,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,1,1,1,0,58.12642857,0.493571429,0.006225,0.087
207,207-1,1,0,0,0,0,0,0,0,0,0,0,0,244,68,73,55,8,13,163,68,41,58.12642857,0.493571429,0.006225,0.189666667
212,212-1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,58.12642857,0.493571429,0.006225,0.1405
220,220-1,1,0,0,0,0,0,0,0,0,0,0,0,6,1,0,1,0,0,6,6,0,58.12642857,0.493571429,0.006225,0
221,221-1,1,0,0,0,0,0,0,0,0,0,0,0,73,17,24,14,0,14,38,12,5,58.12642857,0.493571429,0.006225,0.066
222,222-1,1,0,0,1,0,0,0,0,1,1,1,0,135,56,59,30,1,20,81,44,26,58.12642857,0.493571429,0.006225,0.1912
225,225-1,1,0,0,0,0,0,0,0,0,0,0,0,80,16,18,18,1,7,52,37,3,58.12642857,0.493571429,0.006225,0.038333333
