HexagonNumber,HexandMonth,Month,Under20,20to29,30to39,40to49,50to59,60to69,70andabove,TotalNarcan,NarcanAdministered,Male,Female,MPDCalls,FEMSCalls,MedicalCalls,MiscCals,OverdoseCalls,PropertyCalls,QOLCalls,TrafficCalls,ViolentCalls,AverageTemperature,AverageHumidity,AveragePrecipitation,Unemployment
1,1-1,1,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,5,5,0,37.4075,0.541428571,0.00025,0.274
1,1-2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.4075,0.541428571,0.00025,0.274
1,1-3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.4075,0.541428571,0.00025,0.274
1,1-4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.4075,0.541428571,0.00025,0.274
1,1-5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.4075,0.541428571,0.00025,0.274
1,1-6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.4075,0.541428571,0.00025,0.274
1,1-7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.4075,0.541428571,0.00025,0.274
1,1-8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.4075,0.541428571,0.00025,0.274
1,1-9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.4075,0.541428571,0.00025,0.274
1,1-10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.4075,0.541428571,0.00025,0.274
1,1-11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.4075,0.541428571,0.00025,0.274
1,1-12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.4075,0.541428571,0.00025,0.274
2,2-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.4075,0.541428571,0.00025,0.274
2,2-2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.4075,0.541428571,0.00025,0.274
2,2-3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.4075,0.541428571,0.00025,0.274
2,2-4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.4075,0.541428571,0.00025,0.274
2,2-5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.4075,0.541428571,0.00025,0.274
2,2-6,6,0,0,0,0,0,0,0,0,0,0,0,12,2,2,2,0,8,2,2,0,37.4075,0.541428571,0.00025,0.274
2,2-7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.4075,0.541428571,0.00025,0.274
2,2-8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.4075,0.541428571,0.00025,0.274
2,2-9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.4075,0.541428571,0.00025,0.1415
2,2-10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.4075,0.541428571,0.00025,0.274
2,2-11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.4075,0.541428571,0.00025,0.1415
2,2-12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.4075,0.541428571,0.00025,0.274
3,3-1,1,0,0,0,0,0,0,0,0,0,0,0,11,1,1,9,0,1,1,1,0,37.4075,0.541428571,0.00025,0.274
3,3-2,2,0,0,0,0,0,0,0,0,0,0,0,8,2,2,3,0,3,2,1,0,37.4075,0.541428571,0.00025,0.274
3,3-3,3,0,0,0,0,0,0,0,0,0,0,0,30,13,11,10,0,3,19,10,7,37.4075,0.541428571,0.00025,0.274
3,3-4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.4075,0.541428571,0.00025,0.009
3,3-5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.4075,0.541428571,0.00025,0.1415
3,3-6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.4075,0.541428571,0.00025,0.009
3,3-7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.4075,0.541428571,0.00025,0.1415
3,3-8,8,0,0,0,0,0,0,0,0,0,0,0,35,6,1,9,0,1,30,28,1,37.4075,0.541428571,0.00025,0.176333333
3,3-9,9,0,0,0,0,0,0,0,0,0,0,0,104,41,53,26,4,19,43,17,12,37.4075,0.541428571,0.00025,0.26
3,3-10,10,0,0,0,0,0,0,0,0,0,0,0,192,80,94,49,1,18,110,49,29,37.4075,0.541428571,0.00025,0.263333333
3,3-11,11,0,0,0,0,0,0,0,0,0,0,0,144,23,29,21,3,6,108,43,12,37.4075,0.541428571,0.00025,0.304
3,3-12,12,0,0,0,0,0,0,0,0,0,0,0,23,7,7,5,0,4,14,10,0,37.4075,0.541428571,0.00025,0.368
4,4-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.4075,0.541428571,0.00025,0.009
4,4-2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.4075,0.541428571,0.00025,0.009
4,4-3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.4075,0.541428571,0.00025,0.009
4,4-4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.4075,0.541428571,0.00025,0.009
4,4-5,5,0,0,0,0,0,0,0,0,0,0,0,7,1,1,3,0,1,3,3,0,37.4075,0.541428571,0.00025,0.1275
4,4-6,6,0,0,0,0,0,0,0,0,0,0,0,98,35,38,23,1,13,58,30,24,37.4075,0.541428571,0.00025,0.26
4,4-7,7,0,0,0,0,0,0,0,0,0,0,0,135,46,52,33,2,20,74,37,23,37.4075,0.541428571,0.00025,0.258
4,4-8,8,0,0,0,0,0,0,0,0,0,0,0,137,51,50,30,2,20,86,45,32,37.4075,0.541428571,0.00025,0.319
4,4-9,9,0,0,0,0,0,0,0,0,0,0,0,193,78,75,42,2,30,122,76,55,37.4075,0.541428571,0.00025,0.328
4,4-10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.4075,0.541428571,0.00025,0
4,4-11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.4075,0.541428571,0.00025,0
4,4-12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.4075,0.541428571,0.00025,0.009
5,5-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.4075,0.541428571,0.00025,0.009
5,5-2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.4075,0.541428571,0.00025,0.009
5,5-3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.4075,0.541428571,0.00025,0.009
5,5-4,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,37.4075,0.541428571,0.00025,0.1275
